translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
urdoucv,urd,JDG,618,0,28.17,28.71,26.15,16.44,4.64,13.48,11.89,10.4,0.29,0.01,13.48,pes
urdoucv,urd,JER,1364,0,26.46,26.77,24.28,15.05,3.83,12.85,11.43,10.0,0.27,0.02,12.85,pes
urdoucv,urd,JOB,1068,0,25.64,25.97,23.56,13.87,3.11,11.01,9.81,8.59,0.11,0.01,11.01,pes
urdoucv,urd,JOL,73,0,28.49,28.76,26.11,16.13,4.39,12.04,10.76,9.41,0.23,0.05,12.04,pes
urdoucv,urd,JON,48,0,28.98,29.52,26.97,17.62,5.32,11.45,10.14,8.88,0.26,0.1,11.45,pes
urdoucv,urd,JOS,658,0,26.92,27.51,25.0,14.92,3.69,13.54,12.01,10.51,0.34,0.02,13.54,pes
urdoucv,urd,LAM,154,0,26.89,27.08,24.49,15.26,2.87,11.82,10.51,9.2,0.17,0.03,11.82,pes
urdoucv,urd,LEV,859,0,25.83,26.44,24.02,15.57,3.54,11.66,10.49,9.18,0.14,0.02,11.66,pes
urdoucv,urd,MAL,55,0,26.72,27.29,24.86,15.52,4.15,12.45,10.99,9.62,0.09,0.05,12.45,pes
urdoucv,urd,MIC,105,0,28.78,29.06,26.4,16.47,4.07,12.71,11.27,9.86,0.21,0.04,12.71,pes
urdoucv,urd,MRK,678,0,44.54,44.99,42.52,37.4,21.15,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,NAM,47,0,23.16,23.13,20.77,10.87,2.23,11.79,10.46,9.16,0.17,0.07,11.79,pes
urdoucv,urd,NEH,405,0,26.19,26.69,24.28,14.57,4.04,13.85,12.26,10.73,0.77,0.06,13.85,pes
urdoucv,urd,NUM,1288,0,24.93,25.41,23.06,12.94,3.35,12.9,11.47,10.04,0.16,0.02,12.9,pes
urdoucv,urd,OBA,21,0,26.64,27.15,24.77,16.68,4.27,11.3,10.0,8.75,0.21,0.1,11.3,pes
urdoucv,urd,PRO,915,0,25.85,26.15,23.73,12.71,3.44,11.45,10.22,8.94,0.19,0.04,11.45,pes
urdoucv,urd,PSA,2458,0,27.34,27.75,25.3,16.65,4.75,11.07,9.91,8.67,0.12,0.02,11.07,pes
urdoucv,urd,RUT,85,0,26.23,26.73,24.2,15.49,3.17,11.6,10.36,9.06,0.3,0.04,11.6,pes
urdoucv,urd,SNG,117,0,24.41,24.54,22.17,12.98,1.96,11.33,10.02,8.77,0.16,0.06,11.33,pes
urdoucv,urd,ZEC,211,0,28.15,28.67,26.21,17.46,5.37,12.23,10.84,9.49,0.15,0.03,12.23,pes
urdoucv,urd,ZEP,53,0,28.06,28.35,25.81,17.05,4.08,12.3,10.88,9.52,0.26,0.05,12.3,pes
urdoucv,urd,[epistles],274,0,32.52,33.07,30.34,22.7,7.86,12.34,11.04,9.67,0.17,0.06,12.34,pes
urdoucv,urd,[OT],23130,0,26.81,27.27,24.78,15.68,4.13,12.46,11.07,9.69,0.3,0.01,12.46,pes
