translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,JAS,108,0,43.46,42.7,38.96,14.42,9.74,17.18,17.03,14.9,0.89,0.28,19.08,nya
nde,nde,JDG,618,0,35.9,34.84,31.34,9.89,4.84,20.2,19.42,16.99,3.29,0.35,21.85,nya
nde,nde,JER,1364,0,35.77,34.83,31.35,8.91,4.99,19.34,18.7,16.37,1.89,0.32,21.05,nya
nde,nde,JOB,1070,0,33.51,32.95,29.73,6.02,3.7,16.46,16.44,14.39,0.59,0.1,18.64,nya
nde,nde,JOL,73,0,36.94,36.22,32.97,10.56,8.14,17.55,17.47,15.29,0.69,0.39,20.53,nya
nde,nde,JON,48,0,35.69,34.74,31.24,8.7,3.37,17.72,17.29,15.13,1.48,0.72,19.68,nya
nde,nde,JOS,658,0,34.06,32.99,29.53,8.52,3.59,20.23,19.49,17.1,2.12,0.24,21.3,nya
nde,nde,LAM,154,0,32.81,32.37,29.11,5.53,3.2,16.9,17.03,14.9,0.48,0.23,19.23,nya
nde,nde,LEV,859,0,33.27,32.19,28.84,7.24,2.84,17.47,16.71,14.62,0.86,0.25,19.23,nya
nde,nde,MAL,55,0,36.0,35.23,31.9,11.13,6.67,17.89,17.41,15.24,1.88,0.77,20.79,nya
nde,nde,MIC,105,0,35.85,35.14,31.78,8.63,4.27,18.17,17.98,15.73,0.77,0.28,20.95,nya
nde,nde,MRK,678,0,56.05,55.2,51.62,33.52,23.59,18.37,17.87,15.64,2.33,0.63,19.79,nya
nde,nde,NAM,47,0,31.58,31.0,27.74,5.8,1.96,17.75,17.8,15.58,0.73,0.43,19.84,nya
nde,nde,NEH,405,0,35.25,34.25,30.63,7.43,2.82,20.74,20.21,17.7,2.03,0.51,22.05,nya
nde,nde,NUM,1288,0,34.65,33.41,29.93,9.21,3.51,19.28,18.46,16.15,1.83,0.24,19.92,nya
nde,nde,OBA,21,0,34.79,34.13,30.73,6.82,4.1,18.04,17.82,15.59,0.94,0.58,21.36,nya
nde,nde,PRO,915,0,33.3,32.86,29.65,5.32,3.75,16.01,16.09,14.08,0.21,0.12,17.8,nya
nde,nde,PSA,2460,0,36.98,36.48,33.02,8.33,5.28,16.06,16.33,14.29,0.57,0.15,18.15,nya
nde,nde,RUT,85,0,33.89,32.98,29.67,9.74,5.28,19.75,19.12,16.73,2.24,0.63,21.87,nya
nde,nde,SNG,117,0,29.16,28.5,25.39,3.5,1.73,18.6,18.49,16.19,1.25,0.2,20.92,nya
nde,nde,ZEC,211,0,37.53,36.41,32.74,10.94,5.4,18.45,17.84,15.61,2.18,0.57,20.72,nya
nde,nde,ZEP,53,0,36.37,35.54,31.91,7.71,3.5,17.45,17.38,15.21,0.99,0.41,20.65,nya
nde,nde,[epistles],274,0,44.62,43.86,40.12,14.45,10.63,17.55,17.26,15.12,0.86,0.3,20.03,nya
nde,nde,[OT],23142,0,35.11,34.16,30.72,8.71,4.32,18.79,18.21,15.94,1.66,0.28,20.44,nya
nya,nya,1CH,942,0,36.56,36.73,33.6,9.49,7.38,27.01,25.5,22.54,3.48,1.6,27.01,sna
nya,nya,1KI,816,0,37.25,36.96,33.81,11.33,8.32,24.48,22.82,20.03,2.24,0.42,24.48,sna
nya,nya,1PE,105,0,47.3,47.36,43.97,17.19,14.14,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,1SA,810,0,36.56,36.17,32.95,11.03,7.53,24.11,22.4,19.64,2.35,0.32,24.11,sna
nya,nya,2CH,822,0,39.23,39.02,35.76,11.62,8.67,23.93,22.07,19.36,1.42,0.38,23.93,sna
nya,nya,2KI,719,0,37.61,37.4,34.26,12.08,8.17,24.88,23.1,20.27,2.49,0.61,24.88,sna
nya,nya,2PE,61,0,46.02,45.85,42.48,17.45,14.87,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,2SA,695,0,38.17,37.94,34.76,11.95,8.4,25.03,23.34,20.49,3.0,0.39,25.03,sna
nya,nya,AMO,146,0,38.17,37.71,34.36,12.12,8.02,22.76,21.43,18.8,1.99,0.48,22.76,sna
nya,nya,DAN,357,0,36.46,36.15,32.91,9.45,6.96,22.6,21.27,18.65,1.42,0.22,22.6,sna
nya,nya,DEU,959,0,39.71,39.48,36.02,10.57,7.31,22.88,21.37,18.74,1.41,0.61,22.88,sna
nya,nya,ECC,222,0,37.37,37.01,33.65,8.4,7.5,20.86,19.95,17.48,0.83,0.16,20.86,sna
nya,nya,EST,167,0,32.73,32.3,29.2,7.27,4.87,23.93,22.17,19.46,1.51,0.36,23.93,sna
nya,nya,EXO,1213,0,37.73,37.51,34.33,12.19,8.78,22.15,20.66,18.12,1.63,0.28,22.15,sna
nya,nya,EZK,1273,0,35.87,35.37,32.13,9.16,6.69,22.01,20.54,18.02,1.84,0.35,22.01,sna
nya,nya,EZR,280,0,35.53,35.38,32.25,7.86,6.62,23.75,22.09,19.36,1.22,0.25,23.75,sna
nya,nya,GEN,1533,0,39.66,39.45,36.19,13.51,9.61,24.45,22.95,20.19,2.83,1.05,24.45,sna
nya,nya,HAB,56,0,34.87,34.6,31.15,6.8,3.32,21.2,20.4,17.88,0.88,0.56,21.2,sna
nya,nya,HAG,38,0,39.05,38.67,35.32,16.31,10.52,25.01,23.72,20.86,3.75,1.12,25.01,sna
