translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
urdoucv,urd,EZK,1271,0,29.29,29.79,27.23,18.38,5.89,12.55,11.21,9.81,0.09,0.01,12.55,pes
urdoucv,urd,EZR,280,0,30.02,30.43,27.76,19.19,5.29,14.92,13.3,11.64,0.78,0.05,14.92,pes
urdoucv,urd,GEN,1531,0,31.89,32.43,29.81,21.81,7.09,11.96,10.65,9.32,0.22,0.03,11.96,pes
urdoucv,urd,HAB,56,0,27.11,27.59,24.98,15.49,3.26,11.84,10.47,9.16,0.16,0.06,11.84,pes
urdoucv,urd,HAG,38,0,28.5,28.76,26.23,16.29,4.6,12.25,11.07,9.7,0.14,0.14,12.25,pes
urdoucv,urd,HOS,197,0,30.02,30.27,27.53,18.96,4.93,12.49,11.02,9.64,0.28,0.04,12.49,pes
urdoucv,urd,ISA,1290,0,28.99,29.34,26.7,17.61,4.75,12.14,10.8,9.45,0.16,0.01,12.14,pes
urdoucv,urd,JAS,108,0,34.6,35.2,32.51,24.36,9.17,12.42,11.22,9.82,0.12,0.07,12.42,pes
urdoucv,urd,JDG,618,0,30.42,30.97,28.34,19.21,6.01,13.48,11.89,10.4,0.29,0.01,13.48,pes
urdoucv,urd,JER,1364,0,29.39,29.73,27.12,17.68,5.31,12.85,11.43,10.0,0.27,0.02,12.85,pes
urdoucv,urd,JOB,1068,0,27.24,27.57,25.14,16.46,4.53,11.01,9.81,8.59,0.11,0.01,11.01,pes
urdoucv,urd,JOL,73,0,30.59,30.93,28.34,19.72,6.05,12.04,10.76,9.41,0.23,0.05,12.04,pes
urdoucv,urd,JON,48,0,29.11,29.79,27.41,18.63,6.44,11.45,10.14,8.88,0.26,0.1,11.45,pes
urdoucv,urd,JOS,658,0,29.03,29.58,26.97,17.38,4.66,13.54,12.01,10.51,0.34,0.02,13.54,pes
urdoucv,urd,LAM,154,0,28.23,28.56,25.96,17.52,3.85,11.82,10.51,9.2,0.17,0.03,11.82,pes
urdoucv,urd,LEV,859,0,27.97,28.67,26.17,16.93,4.63,11.66,10.49,9.18,0.14,0.02,11.66,pes
urdoucv,urd,MAL,55,0,29.09,29.67,27.17,17.6,5.69,12.45,10.99,9.62,0.09,0.05,12.45,pes
urdoucv,urd,MIC,105,0,30.63,30.97,28.2,18.12,4.06,12.71,11.27,9.86,0.21,0.04,12.71,pes
urdoucv,urd,MRK,678,0,44.4,44.81,42.44,37.67,21.39,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,NAM,47,0,25.53,25.67,23.09,12.9,1.7,11.79,10.46,9.16,0.17,0.07,11.79,pes
urdoucv,urd,NEH,405,0,29.64,30.0,27.38,18.82,5.4,13.85,12.26,10.73,0.77,0.06,13.85,pes
urdoucv,urd,NUM,1288,0,27.2,27.65,25.2,16.05,4.39,12.9,11.47,10.04,0.16,0.02,12.9,pes
urdoucv,urd,OBA,21,0,26.56,26.92,24.48,15.75,2.22,11.3,10.0,8.75,0.21,0.1,11.3,pes
urdoucv,urd,PRO,915,0,26.85,27.28,24.88,15.2,4.7,11.45,10.22,8.94,0.19,0.04,11.45,pes
urdoucv,urd,PSA,2458,0,28.68,29.15,26.68,18.43,5.74,11.07,9.91,8.67,0.12,0.02,11.07,pes
urdoucv,urd,RUT,85,0,28.75,29.34,26.71,18.53,4.74,11.6,10.36,9.06,0.3,0.04,11.6,pes
urdoucv,urd,SNG,117,0,24.97,25.28,22.88,13.77,2.45,11.33,10.02,8.77,0.16,0.06,11.33,pes
urdoucv,urd,ZEC,211,0,30.87,31.29,28.74,20.43,6.97,12.23,10.84,9.49,0.15,0.03,12.23,pes
urdoucv,urd,ZEP,53,0,28.78,29.17,26.55,17.24,4.49,12.3,10.88,9.52,0.26,0.05,12.3,pes
urdoucv,urd,[epistles],274,0,32.91,33.53,30.96,23.94,8.76,12.34,11.04,9.67,0.17,0.06,12.34,pes
urdoucv,urd,[OT],23130,0,29.05,29.53,26.96,18.1,5.29,12.46,11.07,9.69,0.3,0.01,12.46,pes
