translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nde,nde,ZEP,53,0,34.67,33.85,30.51,7.93,3.84,17.45,17.38,15.21,0.99,0.41,20.65,nya
nde,nde,[epistles],274,0,42.94,42.16,38.51,13.41,8.75,17.55,17.26,15.12,0.86,0.3,20.03,nya
nde,nde,[OT],23142,0,33.17,32.18,28.89,7.88,3.73,18.79,18.21,15.94,1.66,0.28,20.44,nya
nya,nya,1CH,942,0,33.86,33.93,30.97,8.6,6.78,27.01,25.5,22.54,3.48,1.6,27.01,sna
nya,nya,1KI,816,0,35.3,34.98,31.92,10.47,7.11,24.48,22.82,20.03,2.24,0.42,24.48,sna
nya,nya,1PE,105,0,44.4,44.33,40.91,15.05,11.7,20.67,19.73,17.32,0.51,0.25,20.67,sna
nya,nya,1SA,810,0,33.43,32.98,29.97,9.72,6.18,24.11,22.4,19.64,2.35,0.32,24.11,sna
nya,nya,2CH,822,0,35.69,35.42,32.36,9.71,7.17,23.93,22.07,19.36,1.42,0.38,23.93,sna
nya,nya,2KI,719,0,34.8,34.52,31.52,10.69,6.94,24.88,23.1,20.27,2.49,0.61,24.88,sna
nya,nya,2PE,61,0,43.9,43.54,40.22,15.48,13.23,21.76,20.43,17.93,0.95,0.5,21.76,sna
nya,nya,2SA,695,0,35.64,35.4,32.36,11.22,7.69,25.03,23.34,20.49,3.0,0.39,25.03,sna
nya,nya,AMO,146,0,33.66,33.25,30.18,10.04,6.06,22.76,21.43,18.8,1.99,0.48,22.76,sna
nya,nya,DAN,357,0,32.91,32.47,29.42,7.96,5.42,22.6,21.27,18.65,1.42,0.22,22.6,sna
nya,nya,DEU,959,0,36.39,36.07,32.82,8.95,6.51,22.88,21.37,18.74,1.41,0.61,22.88,sna
nya,nya,ECC,222,0,35.36,34.9,31.63,7.03,5.48,20.86,19.95,17.48,0.83,0.16,20.86,sna
nya,nya,EST,167,0,30.35,29.86,26.95,6.27,4.24,23.93,22.17,19.46,1.51,0.36,23.93,sna
nya,nya,EXO,1213,0,35.11,34.82,31.79,11.13,8.25,22.15,20.66,18.12,1.63,0.28,22.15,sna
nya,nya,EZK,1273,0,31.23,30.69,27.79,7.27,4.93,22.01,20.54,18.02,1.84,0.35,22.01,sna
nya,nya,EZR,280,0,31.05,30.83,28.03,6.66,5.7,23.75,22.09,19.36,1.22,0.25,23.75,sna
nya,nya,GEN,1533,0,37.35,37.06,33.93,12.45,9.15,24.45,22.95,20.19,2.83,1.05,24.45,sna
nya,nya,HAB,56,0,33.8,33.47,30.19,7.25,4.72,21.2,20.4,17.88,0.88,0.56,21.2,sna
nya,nya,HAG,38,0,33.71,33.55,30.58,13.27,7.75,25.01,23.72,20.86,3.75,1.12,25.01,sna
nya,nya,HOS,197,0,34.55,34.16,30.99,8.63,5.66,22.14,21.07,18.49,1.28,0.28,22.14,sna
nya,nya,ISA,1291,0,32.36,31.97,28.95,7.6,5.07,21.29,20.22,17.73,1.18,0.19,21.29,sna
nya,nya,JAS,108,0,42.67,42.68,39.32,13.63,9.64,20.09,19.21,16.82,1.08,0.36,20.09,sna
nya,nya,JDG,618,0,33.61,33.14,30.08,9.35,5.89,23.37,21.69,19.01,2.17,0.32,23.37,sna
nya,nya,JER,1364,0,33.38,32.98,29.91,8.54,5.56,22.98,21.43,18.78,1.98,0.33,22.98,sna
nya,nya,JOB,1070,0,33.12,32.83,29.77,7.63,4.98,19.73,18.97,16.64,1.03,0.17,19.73,sna
nya,nya,JOL,73,0,34.79,34.53,31.65,9.83,8.57,21.57,20.61,18.06,0.97,0.36,21.57,sna
nya,nya,JON,48,0,35.7,35.45,32.57,12.15,8.88,22.31,21.26,18.72,2.67,0.87,22.31,sna
nya,nya,JOS,658,0,32.13,31.84,28.92,8.45,5.94,23.15,21.5,18.91,2.45,1.01,23.15,sna
nya,nya,LAM,154,0,33.34,32.99,29.94,7.28,5.28,21.15,20.28,17.78,0.93,0.22,21.15,sna
nya,nya,LEV,859,0,31.72,31.39,28.47,8.04,5.39,20.93,19.55,17.13,2.61,0.23,20.93,sna
nya,nya,MAL,55,0,35.46,35.05,31.94,11.23,6.53,22.7,21.43,18.79,2.15,0.55,22.7,sna
nya,nya,MIC,105,0,34.09,33.8,30.8,8.25,6.29,22.08,21.04,18.46,1.24,0.35,22.08,sna
nya,nya,MRK,678,0,57.42,57.2,54.06,33.95,27.58,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,NAM,47,0,31.02,30.53,27.5,6.23,4.4,20.29,19.65,17.26,0.72,0.38,20.29,sna
nya,nya,NEH,405,0,30.51,30.29,27.45,6.3,4.37,24.36,22.73,19.99,2.25,0.74,24.36,sna
nya,nya,NUM,1288,0,32.9,32.58,29.55,8.47,5.6,23.37,21.78,19.11,1.97,0.47,23.37,sna
