translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
urdoucv,urd,LEV,859,0,27.28,28.03,25.54,16.55,4.28,11.66,10.49,9.18,0.14,0.02,11.66,pes
urdoucv,urd,MAL,55,0,28.77,29.45,26.87,16.11,4.63,12.45,10.99,9.62,0.09,0.05,12.45,pes
urdoucv,urd,MIC,105,0,29.66,30.08,27.34,16.59,4.12,12.71,11.27,9.86,0.21,0.04,12.71,pes
urdoucv,urd,MRK,678,0,44.77,45.18,42.74,37.85,21.33,11.17,9.95,8.71,0.16,0.02,11.48,san
urdoucv,urd,NAM,47,0,24.55,24.69,22.26,12.08,1.72,11.79,10.46,9.16,0.17,0.07,11.79,pes
urdoucv,urd,NEH,405,0,29.24,29.67,27.04,18.55,4.72,13.85,12.26,10.73,0.77,0.06,13.85,pes
urdoucv,urd,NUM,1288,0,26.89,27.33,24.85,15.52,4.03,12.9,11.47,10.04,0.16,0.02,12.9,pes
urdoucv,urd,OBA,21,0,24.78,25.22,22.79,13.53,2.77,11.3,10.0,8.75,0.21,0.1,11.3,pes
urdoucv,urd,PRO,915,0,26.84,27.19,24.78,14.69,4.88,11.45,10.22,8.94,0.19,0.04,11.45,pes
urdoucv,urd,PSA,2460,0,28.64,29.13,26.67,18.24,5.82,11.07,9.9,8.67,0.12,0.02,11.07,pes
urdoucv,urd,RUT,85,0,28.53,29.16,26.57,18.17,4.34,11.6,10.36,9.06,0.3,0.04,11.6,pes
urdoucv,urd,SNG,117,0,25.28,25.59,23.17,14.14,2.88,11.33,10.02,8.77,0.16,0.06,11.33,pes
urdoucv,urd,ZEC,211,0,30.6,31.1,28.63,20.18,6.79,12.23,10.84,9.49,0.15,0.03,12.23,pes
urdoucv,urd,ZEP,53,0,27.29,27.62,24.98,14.56,2.63,12.3,10.88,9.52,0.26,0.05,12.3,pes
urdoucv,urd,[epistles],274,0,34.48,35.14,32.37,24.8,9.14,12.34,11.04,9.67,0.17,0.06,12.34,pes
urdoucv,urd,[OT],23142,0,28.86,29.35,26.78,17.78,5.09,12.46,11.07,9.69,0.3,0.01,12.46,pes
