translation,language,book,verses,truncated,chrF3,chrF3+,chrF3++,spBLEU,BLEU,copy_chrF3,copy_chrF3+,copy_chrF3++,copy_spBLEU,copy_BLEU,other_chrF3,other_lang
nya,nya,MAL,55,0,40.63,39.95,36.45,14.8,8.4,22.7,21.43,18.79,2.15,0.55,22.7,sna
nya,nya,MIC,105,0,38.65,38.29,35.07,10.88,7.35,22.08,21.04,18.46,1.24,0.35,22.08,sna
nya,nya,MRK,678,0,58.91,58.57,55.38,35.08,28.64,22.68,21.65,19.01,3.02,0.57,22.68,sna
nya,nya,NAM,47,0,32.82,32.45,29.31,7.22,4.93,20.29,19.65,17.26,0.72,0.38,20.29,sna
nya,nya,NEH,405,0,34.62,34.38,31.28,7.4,5.62,24.36,22.73,19.99,2.25,0.74,24.36,sna
nya,nya,NUM,1288,0,35.76,35.42,32.18,9.47,6.38,23.37,21.78,19.11,1.97,0.47,23.37,sna
nya,nya,OBA,21,0,38.06,37.77,34.4,10.51,6.19,24.28,22.9,20.14,1.67,1.21,24.28,sna
nya,nya,PRO,915,0,33.67,33.4,30.43,7.31,5.44,19.03,18.19,15.94,0.36,0.12,19.03,sna
nya,nya,PSA,2460,0,40.17,40.01,36.79,12.09,9.44,20.18,19.46,17.07,0.82,0.17,20.18,sna
nya,nya,RUT,85,0,36.24,35.83,32.6,10.95,6.36,25.03,23.73,20.89,3.52,0.84,25.03,sna
nya,nya,SNG,117,0,31.78,31.48,28.25,4.78,3.28,22.35,21.45,18.81,0.44,0.21,22.35,sna
nya,nya,ZEC,211,0,41.53,40.97,37.53,15.52,9.66,22.81,21.47,18.84,2.58,0.54,22.81,sna
nya,nya,ZEP,53,0,38.86,38.74,35.39,10.91,8.39,22.4,21.38,18.78,1.28,0.56,22.4,sna
nya,nya,[epistles],274,0,46.17,45.91,42.39,16.44,12.98,20.73,19.71,17.29,0.86,0.29,20.73,sna
nya,nya,[OT],23142,0,37.13,36.81,33.57,10.5,7.5,22.8,21.4,18.78,1.97,0.55,22.8,sna
