book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
1CH,942,26.67,31.55,30.39,942,50.52,devanagari_drafting_hne,hne,store,-18.97,lose
1KI,816,23.54,35.54,34.87,816,50.81,devanagari_drafting_hne,hne,store,-15.27,lose
1PE,105,21.58,44.46,43.08,105,53.04,devanagari_drafting_hne,hne,store,-8.58,lose
1SA,810,23.05,37.12,36.37,810,52.55,devanagari_drafting_hne,hne,store,-15.43,lose
2CH,822,22.99,34.21,33.25,822,49.48,devanagari_drafting_hne,hne,store,-15.27,lose
2KI,719,23.83,34.49,34.22,719,51.09,devanagari_drafting_hne,hne,store,-16.6,lose
2PE,61,19.22,42.48,42.12,61,52.99,devanagari_drafting_hne,hne,store,-10.51,lose
2SA,695,23.53,34.43,33.66,695,49.58,devanagari_drafting_hne,hne,store,-15.15,lose
AMO,146,21.07,32.94,31.23,146,45.69,devanagari_drafting_hne,hne,store,-12.75,lose
DAN,357,20.78,32.48,31.48,357,45.17,devanagari_drafting_hne,hne,store,-12.69,lose
DEU,959,20.69,32.96,32.71,959,47.3,devanagari_drafting_hne,hne,store,-14.34,lose
ECC,222,18.15,31.29,31.55,222,39.84,devanagari_drafting_hne,hne,store,-8.55,lose
EST,167,22.77,30.53,30.53,167,44.95,devanagari_drafting_hne,hne,store,-14.42,lose
EXO,1213,21.29,34.32,34.08,1213,47.25,devanagari_drafting_hne,hne,store,-12.93,lose
EZK,1273,19.96,32.63,31.8,1273,44.46,devanagari_drafting_hne,hne,store,-11.83,lose
EZR,280,25.86,33.8,32.98,280,48.81,devanagari_drafting_hne,hne,store,-15.01,lose
GEN,1533,23.53,40.25,38.95,1533,52.04,devanagari_drafting_hne,hne,store,-11.79,lose
HAB,56,19.77,30.43,30.15,56,39.51,devanagari_drafting_hne,hne,store,-9.08,lose
HAG,38,23.83,34.95,33.4,38,49.38,devanagari_drafting_hne,hne,store,-14.43,lose
HOS,197,19.46,33.63,33.44,197,43.89,devanagari_drafting_hne,hne,store,-10.26,lose
ISA,1291,20.95,33.12,32.74,1291,43.73,devanagari_drafting_hne,hne,store,-10.61,lose
JAS,108,20.54,47.15,47.13,108,54.61,devanagari_drafting_hne,hne,store,-7.46,lose
JDG,618,23.56,34.8,33.95,618,49.76,devanagari_drafting_hne,hne,store,-14.96,lose
JER,1364,21.53,34.2,34.24,1364,47.45,devanagari_drafting_hne,hne,store,-13.25,lose
JOB,1070,17.24,32.04,31.54,1070,40.06,devanagari_drafting_hne,hne,store,-8.02,lose
JOL,73,20.7,32.56,32.07,73,44.56,devanagari_drafting_hne,hne,store,-12.0,lose
JON,48,23.69,38.99,38.08,48,45.35,devanagari_drafting_hne,hne,store,-6.36,lose
JOS,658,25.52,33.97,34.52,658,49.49,devanagari_drafting_hne,hne,store,-15.52,lose
LAM,154,17.87,32.51,31.35,154,43.08,devanagari_drafting_hne,hne,store,-10.57,lose
LEV,859,20.44,32.38,32.05,859,44.26,devanagari_drafting_hne,hne,store,-11.88,lose
MAL,55,20.7,35.04,35.02,55,49.78,devanagari_drafting_hne,hne,store,-14.74,lose
MIC,105,20.19,32.79,32.02,105,43.02,devanagari_drafting_hne,hne,store,-10.23,lose
MRK,678,19.83,57.47,58.27,678,68.12,devanagari_drafting_hne,hne,store,-10.65,lose
NAM,47,18.31,28.61,27.73,47,37.23,devanagari_drafting_hne,hne,store,-8.62,lose
NEH,405,24.14,32.56,32.37,405,49.4,devanagari_drafting_hne,hne,store,-16.84,lose
NUM,1288,22.48,32.48,32.32,1288,46.85,devanagari_drafting_hne,hne,store,-14.37,lose
OBA,21,23.05,32.33,29.39,21,43.44,devanagari_drafting_hne,hne,store,-11.11,lose
PRO,915,18.42,33.15,32.78,915,42.17,devanagari_drafting_hne,hne,store,-9.02,lose
PSA,2460,19.12,35.49,34.95,2460,45.31,devanagari_drafting_hne,hne,store,-9.82,lose
RUT,85,21.56,35.92,35.66,85,49.53,devanagari_drafting_hne,hne,store,-13.61,lose
SNG,117,19.5,31.25,31.63,117,45.99,devanagari_drafting_hne,hne,store,-14.74,lose
ZEC,211,20.99,34.76,34.03,211,48.54,devanagari_drafting_hne,hne,store,-13.78,lose
ZEP,53,19.5,31.84,32.21,53,42.37,devanagari_drafting_hne,hne,store,-10.53,lose
1CH,942,21.86,24.76,26.04,942,41.73,devanagari_drafting_mar,mar,store,-16.97,lose
1KI,816,16.94,24.64,25.49,816,37.33,devanagari_drafting_mar,mar,store,-12.69,lose
1PE,103,17.66,35.72,34.94,103,51.18,devanagari_drafting_mar,mar,store,-15.46,lose
1SA,810,16.99,29.14,30.03,810,48.17,devanagari_drafting_mar,mar,store,-19.03,lose
2CH,822,18.18,24.35,25.43,822,38.57,devanagari_drafting_mar,mar,store,-14.22,lose
2KI,719,17.94,26.31,27.4,719,42.33,devanagari_drafting_mar,mar,store,-16.02,lose
2PE,61,16.48,31.65,34.18,61,47.91,devanagari_drafting_mar,mar,store,-16.26,lose
2SA,695,16.61,24.31,24.7,695,36.32,devanagari_drafting_mar,mar,store,-12.01,lose
AMO,146,17.0,27.0,27.6,146,43.42,devanagari_drafting_mar,mar,store,-16.42,lose
DAN,356,18.31,26.74,27.82,356,40.6,devanagari_drafting_mar,mar,store,-13.86,lose
DEU,959,16.8,24.95,25.51,959,37.91,devanagari_drafting_mar,mar,store,-12.96,lose
ECC,222,14.65,24.59,25.14,222,34.99,devanagari_drafting_mar,mar,store,-10.4,lose
EST,167,17.91,23.8,25.64,167,39.75,devanagari_drafting_mar,mar,store,-15.95,lose
EXO,1213,16.41,28.03,28.97,1213,44.08,devanagari_drafting_mar,mar,store,-16.05,lose
EZK,1273,15.98,26.23,26.89,1273,39.96,devanagari_drafting_mar,mar,store,-13.73,lose
EZR,280,20.31,25.76,27.33,280,43.75,devanagari_drafting_mar,mar,store,-17.99,lose
GEN,1532,16.49,29.34,30.0,1532,45.67,devanagari_drafting_mar,mar,store,-16.33,lose
HAB,56,15.68,24.98,26.25,56,36.75,devanagari_drafting_mar,mar,store,-11.77,lose
HAG,38,18.01,24.69,26.57,38,45.54,devanagari_drafting_mar,mar,store,-20.85,lose
HOS,197,16.86,28.08,29.4,197,42.55,devanagari_drafting_mar,mar,store,-14.47,lose
ISA,1291,16.07,26.44,27.61,1291,40.49,devanagari_drafting_mar,mar,store,-14.05,lose
JAS,108,17.3,33.24,33.38,108,48.39,devanagari_drafting_mar,mar,store,-15.15,lose
JDG,618,17.33,28.15,29.24,618,44.59,devanagari_drafting_mar,mar,store,-16.44,lose
JER,1364,16.85,26.57,27.93,1364,42.46,devanagari_drafting_mar,mar,store,-15.89,lose
JOB,1070,13.25,22.86,23.65,1070,30.74,devanagari_drafting_mar,mar,store,-7.88,lose
JOL,73,15.77,28.03,29.35,73,42.58,devanagari_drafting_mar,mar,store,-14.55,lose
JON,48,17.0,30.0,29.84,48,45.56,devanagari_drafting_mar,mar,store,-15.56,lose
JOS,658,19.43,27.72,28.86,658,46.5,devanagari_drafting_mar,mar,store,-18.78,lose
LAM,154,14.74,25.19,27.8,154,39.67,devanagari_drafting_mar,mar,store,-14.48,lose
LEV,859,16.83,26.51,27.57,859,43.03,devanagari_drafting_mar,mar,store,-16.52,lose
MAL,55,18.09,28.42,28.87,55,44.7,devanagari_drafting_mar,mar,store,-16.28,lose
MIC,105,16.68,27.34,27.93,105,42.01,devanagari_drafting_mar,mar,store,-14.67,lose
MRK,673,14.92,44.54,45.4,673,55.66,devanagari_drafting_mar,mar,store,-11.12,lose
NAM,47,14.28,23.26,23.6,47,35.09,devanagari_drafting_mar,mar,store,-11.83,lose
NEH,405,18.81,24.01,24.79,405,38.63,devanagari_drafting_mar,mar,store,-14.62,lose
